,dataset_name,site_name,profile_name,lat,long,parent_material,slope,slope_shape,aspect,veg_note,country,state_province,mat,map,elevation,observation_date,soil_taxon,layer_name,layer_top,layer_bot,hzn,rc_year,X13c,X14c,X14c_sigma,bd_tot,bet_surface_area,ph_h2o,c_tot,n_tot,c_to_n,sand_tot_psa,silt_tot_psa,clay_tot_psa,cat_exch,fe_dith,fe_ox,fe_py,al_py,al_dith,al_ox,smect_vermic,doi_number,curator_name,curator_organization,curator_email,modification_date,contact_name,contact_email,contact_orcid_id,bibliographical.reference,metadata_note,datum,site_note,climate_cat,aspect_deg,drainage_class,depth_water,parent_chem,ecoregion,land_cover,s_soc,profile_note,profile_comp,veg_note_profile,2d_position,soil_series,bedrock_depth,thaw_depth_profile,p_soc,p_soc_sigma,p_soc_depth,layer_comp,layer_note,color,burn_ev,bd_samp,bd_notes,ph_cacl,ph_other,ph_other_method,inorgC,coarse_tot,coarse_size_thresh,texture_class,base_sum,cec_sum,Ca_exch,Na_exch,Mg_exch,K_exch,ecec,bs,soc,soc_sigma,oc,loi,X15n,rc_lab,rc_lab_number,fraction_modern,fraction_modern_sigma,mbc_method,raw_mbc,reported_mbc,p_ext,p_units,p_method,si_py,c_py,py_notes,si_ox,c_ox,ox_notes,fe_hy,al_hy,si_hy,c_hy,hy_notes,si_dith,dith_notes,quartz,alkali_feldspar,plag_feldspar,mica_chlorite,amphibole,pyroxine,olivine,volc_glass,kaol_halloy,gibbsite,fe_oxides,imog_alloph,ferrihydrite,calcite_dolomite,zeolite,fraction_name,f_scheme,f_property,f_scheme_units,f_lower,f_upper,f_agent,f_scheme_conc,f_seq,f_seq_order,f_comp,f_note,f_c_perc,f_mass_perc,f_c_tot,f_oc,f_n_tot,f_c_to_n,f_15n,f_13c,f_rc_lab,f_rc_lab_number,f_rc_year,f_14c,f_14c_sigma,f_fraction_modern,f_fraction_modern_sigma,f_quartz,f_alkali_feldspar,f_plag_feldspar,f_mica_chlorite,f_amphibole,f_pyroxine,f_olivine,f_volc_glass,f_kaol_halloy,f_smect_vermic,f_gibbsite,f_fe_oxides,f_imog_alloph,f_ferrihydrite,f_fe_ox,f_al_ox,f_si_ox,f_c_ox,f_ox_notes,f_fe_hy,f_al_hy,f_si_hy,f_c_hy,f_hy_notes,f_fe_dith,f_al_dith,f_si_dith,f_zeolite
197,Yujie_non_peat_synthesis,Amalu,Amalu_14,20.93,-156.62,volcanic ash and tropospheric dust over residuum weathered from basalt,NA,NA,NA,tropical forest,US,Hawaii,15,3000,1494,1996,And,Amalu_14_71_54,54,71,NA,NA,NA,-786,NA,1.2,NA,NA,7.870778267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
198,Yujie_non_peat_synthesis,Amalu,Amalu_14,20.93,-156.62,volcanic ash and tropospheric dust over residuum weathered from basalt,NA,NA,NA,tropical forest,US,Hawaii,15,3000,1494,1996,And,Amalu_14_28_20,20,28,NA,NA,NA,-536,NA,0.6,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
199,Yujie_non_peat_synthesis,Amalu,Amalu_14,20.93,-156.62,volcanic ash and tropospheric dust over residuum weathered from basalt,NA,NA,NA,tropical forest,US,Hawaii,15,3000,1494,1996,And,Amalu_14_3.5_0,0,3.5,NA,NA,NA,248,NA,0.3,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,Yujie_non_peat_synthesis,Amalu,Amalu_14,20.93,-156.62,volcanic ash and tropospheric dust over residuum weathered from basalt,NA,NA,NA,tropical forest,US,Hawaii,15,3000,1494,1996,And,Amalu_14_54_38,38,54,NA,NA,NA,-872,NA,0.9,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,Yujie_non_peat_synthesis,Amalu,Amalu_14,20.93,-156.62,volcanic ash and tropospheric dust over residuum weathered from basalt,NA,NA,NA,tropical forest,US,Hawaii,15,3000,1494,1996,And,Amalu_14_20_13,13,20,NA,NA,NA,-271,NA,0.7,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,Yujie_non_peat_synthesis,Amalu,Amalu_14,20.93,-156.62,volcanic ash and tropospheric dust over residuum weathered from basalt,NA,NA,NA,tropical forest,US,Hawaii,15,3000,1494,1996,And,Amalu_14_38_28,28,38,NA,NA,NA,-704,NA,0.6,NA,NA,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
203,Yujie_non_peat_synthesis,Amalu,Amalu_14,20.93,-156.62,volcanic ash and tropospheric dust over residuum weathered from basalt,NA,NA,NA,tropical forest,US,Hawaii,15,3000,1494,1996,And,Amalu_14_13_9,9,13,NA,NA,NA,-121,NA,0.5,NA,NA,9.205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,Yujie_non_peat_synthesis,Amalu,Amalu_14,20.93,-156.62,volcanic ash and tropospheric dust over residuum weathered from basalt,NA,NA,NA,tropical forest,US,Hawaii,15,3000,1494,1996,And,Amalu_14_9_3.5,3.5,9,NA,NA,NA,28,NA,0.37,NA,NA,2.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1564,Yujie_non_peat_synthesis,"Kauai (4,100,000)","Kauai (4,100,000)_13",22.1394,-159.6392,NA,NA,NA,NA,tropical forest,US,Hawaii,14,2000,1134,1996,Ox,"Kauai (4,100,000)_13_109_89",89,109,Bg2,NA,NA,-825,NA,1.2,NA,NA,0.008505771,0.006662085,141.4338304,4,79,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1565,Yujie_non_peat_synthesis,"Kauai (4,100,000)","Kauai (4,100,000)_13",22.1394,-159.6392,NA,NA,NA,NA,tropical forest,US,Hawaii,14,2000,1134,1996,Ox,"Kauai (4,100,000)_13_54_43",43,54,Bw4,NA,NA,-650,NA,1.16,NA,NA,1.966915,0.02408019,81.68187211,4,79,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1566,Yujie_non_peat_synthesis,"Kauai (4,100,000)","Kauai (4,100,000)_13",22.1394,-159.6392,NA,NA,NA,NA,tropical forest,US,Hawaii,14,2000,1134,1996,Ox,"Kauai (4,100,000)_13_11_7",7,11,A,NA,NA,143,NA,0.6,NA,NA,23.57107,1.27946,18.4226705,4,79,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1567,Yujie_non_peat_synthesis,"Kauai (4,100,000)","Kauai (4,100,000)_13",22.1394,-159.6392,NA,NA,NA,NA,tropical forest,US,Hawaii,14,2000,1134,1996,Ox,"Kauai (4,100,000)_13_32_23",23,32,Bw2,NA,NA,-322,NA,0.81,NA,NA,3.197804,0.07693386,41.56562533,4,79,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1568,Yujie_non_peat_synthesis,"Kauai (4,100,000)","Kauai (4,100,000)_13",22.1394,-159.6392,NA,NA,NA,NA,tropical forest,US,Hawaii,14,2000,1134,1996,Ox,"Kauai (4,100,000)_13_43_32",32,43,Bw3,NA,NA,-462,NA,0.91,NA,NA,2.024664,0.03338176,60.65180506,4,79,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1569,Yujie_non_peat_synthesis,"Kauai (4,100,000)","Kauai (4,100,000)_13",22.1394,-159.6392,NA,NA,NA,NA,tropical forest,US,Hawaii,14,2000,1134,1996,Ox,"Kauai (4,100,000)_13_72_54",54,72,Bw5,NA,NA,-694,NA,1.2,NA,NA,1.62,0.01,162,4,79,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1570,Yujie_non_peat_synthesis,"Kauai (4,100,000)","Kauai (4,100,000)_13",22.1394,-159.6392,NA,NA,NA,NA,tropical forest,US,Hawaii,14,2000,1134,1996,Ox,"Kauai (4,100,000)_13_125_109",109,125,Crg,NA,NA,-871,NA,1.2,NA,NA,0.76,NA,NA,4,79,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1571,Yujie_non_peat_synthesis,"Kauai (4,100,000)","Kauai (4,100,000)_13",22.1394,-159.6392,NA,NA,NA,NA,tropical forest,US,Hawaii,14,2000,1134,1996,Ox,"Kauai (4,100,000)_13_16_11",11,16,Bhs,NA,NA,-726,NA,1.12,NA,NA,2.013722,0.01643329,122.5391872,4,79,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1572,Yujie_non_peat_synthesis,"Kauai (4,100,000)","Kauai (4,100,000)_13",22.1394,-159.6392,NA,NA,NA,NA,tropical forest,US,Hawaii,14,2000,1134,1996,Ox,"Kauai (4,100,000)_13_23_16",16,23,Bw1,NA,NA,-108,NA,0.91,NA,NA,3.263274,0.1240877,26.29812624,4,79,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1573,Yujie_non_peat_synthesis,"Kauai (4,100,000)","Kauai (4,100,000)_13",22.1394,-159.6392,NA,NA,NA,NA,tropical forest,US,Hawaii,14,2000,1134,1996,Ox,"Kauai (4,100,000)_13_7_0",0,7,Oe,NA,NA,191,NA,0.25,NA,NA,31.53778,1.549373,20.35518884,10,72,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1574,Yujie_non_peat_synthesis,"Kauai (4,100,000)","Kauai (4,100,000)_13",22.1394,-159.6392,NA,NA,NA,NA,tropical forest,US,Hawaii,14,2000,1134,1996,Ox,"Kauai (4,100,000)_13_89_72",72,89,Bg1,NA,NA,-790,NA,1.2,NA,NA,1.28,0.01,128,4,79,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1605,Yujie_non_peat_synthesis,"Kohala (150,000)","Kohala (150,000)_11",20.1307,-155.6956,volcanic tephra,NA,NA,NA,tropical forest,US,Hawaii,16,2500,1122,1996,And,"Kohala (150,000)_11_78_66",66,78,3Bw4,NA,NA,-902.49,NA,0.9,NA,NA,8.154002,0.1871065,43.57946945,6,51,43,33.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
